,prime,target,target.RT,target_freq,bin,bin_index,mean_freq
193,anisette,chair,625.96875,48.97788193684466,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
194,anisette,dictionary,767.625,10.471285480508985,"(10.0, 13.182567385564074]",q4,11.591283692782037
195,ankle,bracelet,762.40625,5.011872336272725,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
196,ankle,way,791.8620689655172,1023.2929922807537,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
197,annihilate,destroy,677.0666666666667,33.11311214825908,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
198,annihilate,parent,702.96875,37.15352290971728,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
199,announce,marriage,776.0645161290323,81.28305161640995,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
200,announce,sorrow,669.75,5.370317963702527,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
201,annoy,crack,644.0370370370371,25.703957827688647,"(23.9883291901949, 29.51209226666384]",q7,26.75021072842937
202,annoy,sister,643.0,89.12509381337459,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
203,annoying,disappear,713.3571428571429,12.30268770812381,"(10.0, 13.182567385564074]",q4,11.591283692782037
204,annoying,irritating,814.1935483870968,4.073802778041126,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
205,annual,once,678.59375,338.84415613920277,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
206,annual,stream,650.5862068965517,41.68693834703355,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
207,another,more,594.4285714285714,2290.867652767775,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
208,another,silly,589.2903225806451,24.547089156850287,"(23.9883291901949, 29.51209226666384]",q7,26.75021072842937
209,anteater,ant,705.78125,7.244359600749899,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
210,anteater,ring,726.9354838709677,64.56542290346549,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
211,antelope,awake,661.0909090909091,13.803842646028839,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
212,antelope,beast,653.40625,19.498445997580454,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
213,antidote,cure,670.5483870967741,20.892961308540407,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
214,antidote,dam,949.8125,14.791083881682072,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
215,antique,face,609.0645161290323,281.8382931264455,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
216,antique,furniture,697.1666666666666,19.498445997580454,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
217,antler,excuse,851.7741935483871,36.3078054770101,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
218,antler,horn,624.1034482758621,13.803842646028839,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
219,antlers,deer,603.1612903225806,13.182567385564074,"(10.0, 13.182567385564074]",q4,11.591283692782037
220,antlers,disgusting,753.5806451612904,16.98243652461746,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
221,anxiety,goo,1210.125,2.570395782768865,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
222,anxiety,nervous,707.5151515151515,26.302679918953814,"(23.9883291901949, 29.51209226666384]",q7,26.75021072842937
223,apart,alone,613.5333333333333,144.5439770745928,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
224,apart,mix,619.3333333333334,51.28613839913648,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
225,apathetic,liar,609.1290322580645,10.471285480508985,"(10.0, 13.182567385564074]",q4,11.591283692782037
226,apathetic,sympathetic,760.0666666666667,6.456542290346556,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
227,apathy,science,654.8125,131.82567385564073,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
228,apathy,sympathy,727.9677419354839,10.232929922807536,"(10.0, 13.182567385564074]",q4,11.591283692782037
229,ape,all,680.5666666666667,3311.311214825908,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
230,ape,jungle,612.75,13.182567385564074,"(10.0, 13.182567385564074]",q4,11.591283692782037
231,apology,mistake,696.71875,46.77351412871981,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
232,apology,win,699.28125,245.47089156850285,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
233,appeal,crooked,813.9642857142857,4.265795188015925,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
234,appeal,looks,577.9677419354839,229.08676527677747,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
235,appear,show,582.8064516129032,478.630092322638,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
236,appear,whale,628.7931034482758,9.549925860214358,"(7.244359600749899, 10.0]",q3,8.62217980037495
237,appearance,line,653.0384615384615,309.0295432513592,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
238,appearance,looks,636.1935483870968,229.08676527677747,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
239,appendage,finger,688.9354838709677,30.199517204020193,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
240,appendage,leg,609.1333333333333,45.708818961487516,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
241,apple,exercise,709.1333333333333,47.863009232263806,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
242,apple,red,568.8333333333334,208.92961308540407,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
243,appliance,bacon,613.0,14.125375446227554,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
244,appliance,stove,670.7586206896551,5.1286138399136485,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
245,application,college,716.7,186.20871366628657,"(144.5439770745928, 199.52623149688787]",q15,172.03510428574032
246,application,mist,716.2758620689655,4.677351412871981,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
247,appraise,empty,746.9354838709677,38.904514499428046,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
248,appraise,value,681.6666666666666,141.25375446227554,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
249,approval,pavement,837.7931034482758,4.073802778041126,"(2.7542287033381663, 5.011872336272725]",q1,3.8830505198054457
250,approval,yes,554.1935483870968,316.22776601683796,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
251,apron,maid,677.3793103448276,7.244359600749899,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
252,apron,tense,681.0714285714286,8.91250938133746,"(7.244359600749899, 10.0]",q3,8.62217980037495
253,architect,building,663.28125,194.98445997580455,"(144.5439770745928, 199.52623149688787]",q15,172.03510428574032
254,architect,eye,565.6,104.71285480508985,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
