Unnamed: 0,prime,target,target.RT,avg_neigh_cos
278,art,paint,721.6875,0.48736842105263156
279,artery,finger,634.5,0.5526315789473685
280,artery,vein,708.5357142857143,0.5526315789473685
281,artist,box,622.53125,0.5278947368421052
282,artist,draw,630.5806451612904,0.5278947368421052
283,arts,crafts,635.21875,0.41
284,arts,shot,622.34375,0.41
285,ascend,descend,813.5666666666667,0.48736842105263156
286,ascend,tired,684.3225806451613,0.48736842105263156
287,ascent,brush,663.7096774193549,0.49684210526315786
288,ascent,climb,699.78125,0.49684210526315786
289,ash,ashtray,865.9285714285714,0.38421052631578945
290,ash,curtains,706.2903225806451,0.38421052631578945
291,ashamed,fragile,708.8125,0.5221052631578947
292,ashamed,guilt,763.1785714285714,0.5221052631578947
293,ashes,ashtray,815.4137931034483,0.40421052631578946
294,ashes,superior,654.3666666666667,0.40421052631578946
297,asleep,awake,593.9032258064516,0.5331578947368422
298,asleep,worm,716.25,0.5331578947368422
299,asphalt,pavement,759.3333333333334,0.4263157894736842
300,asphalt,sister,611.0333333333333,0.4263157894736842
301,aspirin,deodorant,766.1290322580645,0.538421052631579
302,aspirin,headache,653.75,0.538421052631579
303,ass,donkey,686.1290322580645,0.5689473684210526
304,ass,thirst,773.1875,0.5689473684210526
305,assault,attack,601.6774193548387,0.45631578947368423
306,assault,example,684.6060606060606,0.45631578947368423
307,assignment,homework,607.5806451612904,0.4031578947368421
308,assignment,pride,653.375,0.4031578947368421
309,assistance,helper,677.6774193548387,0.3857894736842105
310,assistance,piece,696.4285714285714,0.3857894736842105
311,assistant,helper,622.34375,0.4694736842105263
312,assistant,smooth,657.3225806451613,0.4694736842105263
313,associate,loose,632.6333333333333,0.4047368421052632
314,associate,partner,661.15625,0.4047368421052632
315,asteroid,aware,802.7096774193549,0.5005263157894737
316,asteroid,belt,623.516129032258,0.5005263157894737
317,astrology,gross,703.5333333333333,0.5142105263157895
318,astrology,space,706.96875,0.5142105263157895
319,astronaut,climb,717.15625,0.46315789473684216
320,astronaut,space,561.5483870967741,0.46315789473684216
321,athlete,dress,679.1515151515151,0.5278947368421053
322,athlete,muscle,606.5,0.5278947368421053
323,athletic,movie,681.0,0.4436842105263158
324,athletic,sports,639.6451612903226,0.4436842105263158
325,atlas,map,607.6451612903226,0.33789473684210525
326,atlas,take,612.5806451612904,0.33789473684210525
327,atom,neutron,761.1290322580645,0.4594736842105263
328,atom,shy,695.9375,0.4594736842105263
329,atomic,crab,655.96875,0.44947368421052636
330,atomic,explode,811.6206896551724,0.44947368421052636
331,attach,cry,699.2413793103449,0.4273684210526316
332,attach,stick,727.2962962962963,0.4273684210526316
333,attack,ditch,818.3333333333334,0.45210526315789473
334,attack,heart,646.21875,0.45210526315789473
335,attempt,float,785.5806451612904,0.45210526315789473
336,attempt,murder,682.9677419354839,0.45210526315789473
337,attend,apple,664.7333333333333,0.4226315789473684
